Sex,Culmen Length (mm),Culmen Depth (mm),Species
0,40.9,13.7,2
0,37.3,17.8,0
1,50.0,15.9,2
0,35.9,19.2,0
1,40.5,18.9,0
1,44.4,17.3,2.
0,46.2,14.1,2
0,42.9,13.1,2
1,54.2,20.8,1
1,38.3,19.2,0
1,37.3,20.5,0
1,37.8,18.1,0
1,47.8,15.0,2
0,40.2,17.0,0
1,39.2,18.6,0
0,40.9,16.6,1
0,38.1,18.6,0
1,55.9,17.0,2
0,43.6,13.9,2
1,38.8,20.0,0
0,47.5,14.0,2
1,53.5,19.9,1
1,48.5,17.5,1
1,50.2,14.3,2
1,50.4,15.7,2
1,41.5,18.5,0
1,41.6,18.0,0
1,40.6,19.0,0
0,37.8,18.3,0
1,39.2,19.6,0
1,55.8,19.8,1
1,43.2,18.5,0
1,39.2,21.1,0
0,40.5,17.9,0
1,48.2,15.6,2
0,47.4,14.6,2
0,37.6,17.0,0
1,52.8,20.0,1
0,36.6,17.8,0
1,49.0,16.1,2
1,48.4,14.6,2
0,36.9,18.6,0
1,51.3,18.2,1
0,37.0,16.9,0
0,48.4,14.4,2
0,38.1,16.5,0
1,51.3,19.9,1
1,49.0,19.6,1
0,47.0,17.3,1
0,38.5,17.9,0
0,45.8,14.6,2
0,39.6,17.2,0
0,43.5,18.1,1
1,38.2,18.1,0
0,48.1,16.4,1
0,46.5,14.4,2
1,39.0,18.7,0
1,38.8,17.2,0
0,47.2,13.7,2
0,33.1,16.1,0
1,41.3,20.3,0
1,42.8,18.5,0
0,45.7,17.0,1
0,37.7,16.0,0
1,37.8,20.0,0
0,45.7,17.3,1
0,35.5,17.5,0
0,37.9,18.6,0
0,36.0,18.5,0
1,59.6,17.0,2
1,45.8,18.9,0
1,50.1,15.0,2
0,36.0,17.1,0
1,43.1,19.2,0
1,46.7,15.3,2
0,34.0,17.1,0
0,47.7,15.0,2
0,46.1,18.2,1
1,46.4,15.6,2
1,51.3,19.2,1
1,45.2,16.4,2
1,46.1,15.1,2
0,43.3,13.4,2
1,51.7,20.3,1
0,46.5,13.5,2
1,41.1,17.5,0
1,44.1,19.7,0
1,46.3,15.8,2
1,49.3,19.9,1
1,49.2,18.2,1
0,35.7,17.0,0
0,45.2,16.6,1
1,51.5,18.7,1
1,41.4,18.5,0
1,53.4,15.8,2
0,50.5,15.2,2
0,47.5,15.0,2
0,46.4,18.6,1
1,46.8,15.4,2
0,45.5,13.7,2
0,46.0,18.9,1
1,49.2,15.2,2
0,40.3,18.0,0
1,37.7,19.8,0
1,49.5,19.0,1
1,50.4,15.3,2
0,38.8,17.6,0
0,41.7,14.7,2
1,51.1,16.3,2
1,37.5,18.5,0
0,34.6,17.2,0
0,36.4,17.0,0
0,38.9,18.8,0
0,45.8,14.2,2
1,42.2,19.5,0
1,52.0,20.7,1
1,49.5,16.2,2
1,39.7,17.9,0
0,46.9,16.6,1
0,46.2,14.5,2
0,39.6,17.7,0
1,50.8,15.7,2
1,39.7,18.4,0
0,49.1,14.5,2
1,41.1,18.1,0
1,49.0,19.5,1
0,40.9,16.8,0
1,52.0,18.1,1
1,42.5,20.7,0
0,36.5,18.0,0
1,40.9,18.9,0
0,46.7,17.9,1
0,36.0,17.8,0
0,42.8,14.2,2
1,40.2,20.1,0
1,45.0,15.4,2
1,40.6,18.8,0
1,41.0,20.0,0
1,49.6,16.0,2
0,42.5,16.7,1
1,50.2,18.8,1
1,44.1,18.0,0
1,41.1,19.0,0
1,40.8,18.9,0
1,50.5,15.9,2
1,51.9,19.5,1
0,32.1,15.5,0
1,37.2,18.1,0
1,55.1,16.0,2
0,36.6,18.4,0
0,45.1,14.5,2
1,39.1,18.7,0
1,51.3,14.2,2
0,46.4,15.0,2
1,52.2,17.1,2
0,38.6,17.2,0
0,50.1,17.9,1
1,48.6,16.0,2
1,47.6,14.5,2
0,50.2,18.7,1
1,43.2,19.0,0
1,52.0,19.0,1
0,37.9,18.6,0
1,40.8,18.4,0
0,45.3,13.7,2
1,41.1,19.1,0
1,52.7,19.8,1
1,42.0,19.5,0
0,49.1,14.8,2
0,47.2,15.5,2
0,38.7,19.0,0
0,46.8,14.3,2
0,42.5,17.3,1
0,43.4,14.4,2
0,39.5,17.8,0
1,45.2,15.8,2
0,42.0,13.5,2
1,48.7,15.1,2
1,39.3,20.6,0
0,39.0,17.1,0
0,42.2,18.5,0
0,42.6,13.7,2
1,50.3,20.0,1
1,49.6,15.0,2
0,46.5,14.8,2
1,50.0,15.3,2
0,37.3,16.8,0
0,35.9,16.6,0
1,50.0,16.3,2
1,40.6,17.2,0
0,38.1,17.6,0
1,38.6,21.2,0
0,33.5,19.0,0
1,46.0,21.5,0
0,46.6,17.8,1
1,39.6,18.8,0
0,44.5,14.7,2
0,43.2,14.5,2
0,48.7,14.1,2
0,45.2,13.8,2
0,46.5,14.5,2
0,46.8,16.5,1
1,50.8,19.0,1
0,45.5,14.5,2
0,44.0,13.6,2
1,51.5,16.3,2
1,49.5,16.1,2
0,43.8,13.9,2
1,52.2,18.8,1
1,50.5,19.6,1
1,42.3,21.2,0
1,50.0,15.2,2
0,50.9,17.9,1
0,45.5,13.9,2
1,45.6,20.3,0
1,37.6,19.1,0
0,39.5,17.4,0
1,41.4,18.6,0
1,36.3,19.5,0
0,45.6,19.4,1
1,39.8,19.1,0
0,46.6,14.2,2
1,40.3,18.5,0
0,36.5,16.6,0
1,48.5,14.1,2
0,48.2,14.3,2
0,34.4,18.4,0
0,36.2,17.3,0
0,45.3,13.8,2
0,42.4,17.3,1
1,48.8,16.2,2
0,40.2,17.1,0
1,48.1,15.1,2
1,47.3,15.3,2
0,35.7,16.9,0
0,39.0,17.5,0
0,46.4,17.8,1
0,45.5,17.0,1
0,45.2,14.8,2
0,46.2,17.5,1
1,50.6,19.4,1
0,36.4,17.1,0
0,34.5,18.1,0
0,45.1,14.5,2
1,48.7,15.7,2
1,40.6,18.6,0
0,45.9,17.1,1
1,54.3,15.7,2
1,50.8,18.5,1
1,52.5,15.6,2
1,50.5,15.9,2
1,49.4,15.8,2
0,45.4,18.7,1
0,35.6,17.5,0
0,45.2,17.8,1
1,39.7,18.9,0
1,39.6,18.1,0
0,46.1,13.2,2
1,41.5,18.3,0
1,49.9,16.1,2
0,35.3,18.9,0
1,50.9,19.1,1
1,37.2,19.4,0
0,39.7,17.7,0
1,45.5,15.0,2
0,38.1,17.0,0
